Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Global Subject (Lore),Features
stratos-aether-ii,Stratos Aether II,"The successor to the legend. Stratos Aether II builds upon the gravity-defying foundation of the original with enhanced Aero-Mesh™ V2 and a refined silhouette. <br><br><strong>Key Features:</strong><ul><li>Zero-G Sole Unit</li><li>Breathable Aero-Mesh V2 Upper</li><li>Adaptive Fit Lacing</li><li>Bioluminescent Heel Tab</li></ul>",Stratos,Footwear,"Hero, Pre-order",TRUE,Size,US 10,STR-AETHER-II-10,1000,shopify,100,continue,manual,289.00,310.00,TRUE,TRUE,,,,"The Legend Consultant. Everything you loved, elevated. The Aether II is the next leap in our journey to the stars.","Zero-G Sole Unit|Breathable Aero-Mesh V2 Upper|Adaptive Fit Lacing|Bioluminescent Heel Tab"
stratos-zenith,Stratos Zenith,"Peak performance wrapped in elegance. The Zenith edition brings a touch of Midas to the stratosphere, featuring real gold-thread stitching and premium synthetic cloud-leather. <br><br><strong>Key Features:</strong><ul><li>Gold-Thread Weave</li><li>Cloud-Leather Upper</li><li>Impact Absorption Core</li><li>Ultra-Soft Lining</li></ul>",Stratos,Footwear,"Hero, Pre-order",TRUE,Size,US 10,STR-ZENITH-10,1000,shopify,50,continue,manual,250.00,320.00,TRUE,TRUE,,,,"Experience the Future. A golden age of exploration requires footwear that shines as bright as the ambition it carries.","Gold-Thread Weave|Cloud-Leather Upper|Impact Absorption Core|Ultra-Soft Lining"
stratos-apex,Stratos Apex,"The pinnacle of our design philosophy. The Apex features an iridescent finish that shifts with your viewing angle, mimicking the aurora of the upper atmosphere. <br><br><strong>Key Features:</strong><ul><li>Iridescent Chroma-Shift</li><li>Carbon Fiber Shank</li><li>Reactive Bounce Foam</li><li>Limited Edition Colorway</li></ul>",Stratos,Footwear,"Hero, Pre-order",TRUE,Size,US 10,STR-APEX-10,1000,shopify,25,continue,manual,299.00,350.00,TRUE,TRUE,,,,"Defy gravity Beyond. Where the sky ends, dreams begin. The Apex is for those who look up and see no limit.","Iridescent Chroma-Shift|Carbon Fiber Shank|Reactive Bounce Foam|Limited Edition Colorway"
stratos-aether,Stratos Aether,"The Stratos Aether defines the boundary between atmosphere and void. Engineered with our proprietary Aero-Mesh™ technology, it provides a sensation of weightlessness that defies gravity. <br><br><strong>Key Features:</strong><ul><li>Zero-G Sole Unit</li><li>Breathable Aero-Mesh Upper</li><li>Adaptive Fit Lacing</li><li>Bioluminescent Heel Tab</li></ul>",Stratos,Footwear,"New",TRUE,Size,US 10,STR-AETHER-1,1000,shopify,200,deny,manual,180.00,289.00,TRUE,TRUE,,,,"Luxury meets performance. Born from the need to ascend, the Aether is the first step into a larger world.","Zero-G Sole Unit|Breathable Aero-Mesh Upper|Adaptive Fit Lacing|Bioluminescent Heel Tab"
stratos-cloudrunner,Stratos CloudRunner,"Soft as a cloud, tough as a storm. The CloudRunner is built for the urban explorer who demands comfort without compromising on style. <br><br><strong>Key Features:</strong><ul><li>Cloud-Foam Midsole</li><li>Water-Resistant Coating</li><li>Reinforced Toe Cap</li><li>All-Day Comfort Arch</li></ul>",Stratos,Footwear,"New",TRUE,Size,US 10,STR-CLOUD-1,1000,shopify,150,deny,manual,199.00,289.00,TRUE,TRUE,,,,"","Cloud-Foam Midsole|Water-Resistant Coating|Reinforced Toe Cap|All-Day Comfort Arch"
stratos-aero,Stratos Aero,"Speed has a new form. The Aero cuts through resistance with a streamlined silhouette designed for forward momentum. <br><br><strong>Key Features:</strong><ul><li>Aerodynamic Profile</li><li>Speed-Lace System</li><li>Ventilated Side Panels</li><li>High-Traction Outsole</li></ul>",Stratos,Footwear,"Hot",TRUE,Size,US 10,STR-AERO-1,1000,shopify,100,deny,manual,135.00,289.00,TRUE,TRUE,,,,"","Aerodynamic Profile|Speed-Lace System|Ventilated Side Panels|High-Traction Outsole"
stratos-void,Stratos Void,"Embrace the unknown. The Void offers a stark, matte black aesthetic with neon accents that pop in low light. <br><br><strong>Key Features:</strong><ul><li>Matte Black Finish</li><li>Neon Reflective Strips</li><li>Silent-Step Sole</li><li>Minimalist Deconstructed Design</li></ul>",Stratos,Footwear,"Sale",TRUE,Size,US 10,STR-VOID-1,1000,shopify,80,deny,manual,149.00,199.00,TRUE,TRUE,,,,"","Matte Black Finish|Neon Reflective Strips|Silent-Step Sole|Minimalist Deconstructed Design"
stratos-glow-rave,Stratos GlowRave,"Light up the night. Sync your steps to the beat with reactive RGB lightbeds. Viral for a reason, unmatched in the dark. <br><br><strong>Key Features:</strong><ul><li>Reactive RGB Lightbeds</li><li>Music Sync Sensors</li><li>Ultra-Lightweight Mesh</li><li>Rechargeable Battery</li></ul>",Stratos,Footwear,"Hot, Viral",TRUE,Size,US 10,STR-GLOW-10,1000,shopify,100,deny,manual,175.00,250.00,TRUE,TRUE,stratos-glow-rave.png,Stratos GlowRave Sneaker in Dark,Light up the night. Sync your steps to the beat with reactive RGB lightbeds. Viral for a reason, unmatched in the dark.,"Reactive RGB Lightbeds|Music Sync Sensors|Ultra-Lightweight Mesh|Rechargeable Battery"
stratos-hover-glide,Stratos HoverGlide,"Walk on air, literally. The HoverGlide features a magnetized illusion-sole that mimics zero-gravity locomotion. Dominate the FYP. <br><br><strong>Key Features:</strong><ul><li>Zero-G Illusion Soles</li><li>Magnetized Core Cushioning</li><li>Carbon-Fiber Silhouette</li><li>Slip-On Neo-Fit</li></ul>",Stratos,Footwear,"Hero, Viral",TRUE,Size,US 10,STR-HOVER-10,1000,shopify,50,continue,manual,299.00,399.00,TRUE,TRUE,stratos-hover-glide.png,Stratos HoverGlide Sneaker Floating,Walk on air, literally. The HoverGlide features a magnetized illusion-sole that mimics zero-gravity locomotion. Dominate the FYP.,"Zero-G Illusion Soles|Magnetized Core Cushioning|Carbon-Fiber Silhouette|Slip-On Neo-Fit"
stratos-cyber-pixel,Stratos CyberPixel,"Wear your vibe. Customizable pixel art screen controlled by your phone. The ultimate TikTok accessory for self-expression. <br><br><strong>Key Features:</strong><ul><li>Flexible LED Pixel Screen</li><li>App-Controlled Animations</li><li>Waterproof Matrix Layer</li><li>Comfort Foam Inner</li></ul>",Stratos,Footwear,"New, Viral",TRUE,Size,US 10,STR-CYBER-10,1000,shopify,150,deny,manual,220.00,300.00,TRUE,TRUE,stratos-cyber-pixel.png,Stratos CyberPixel Sneaker with heart display,Wear your vibe. Customizable pixel art screen controlled by your phone. The ultimate TikTok accessory for self-expression.,"Flexible LED Pixel Screen|App-Controlled Animations|Waterproof Matrix Layer|Comfort Foam Inner"
stratos-plush-slouch,Stratos PlushSlouch,"The ultimate cozy aesthetic. Walk on giant, pillowy clouds. Perfect for lazy days, loungewear transitions, and comfy vibes. <br><br><strong>Key Features:</strong><ul><li>Oversized Plush Construction</li><li>Memory Foam Footbed</li><li>Anti-Slip Rubber Sole</li><li>Ultra-Soft Sherpa Lining</li></ul>",Stratos,Footwear,"Cozy, Viral",TRUE,Size,US 10,STR-PLUSH-10,1000,shopify,200,deny,manual,95.00,150.00,TRUE,TRUE,stratos-plush-slouch.png,Stratos PlushSlouch Cozy Blue Slippers,The ultimate cozy aesthetic. Walk on giant, pillowy clouds. Perfect for lazy days, loungewear transitions, and comfy vibes.,"Oversized Plush Construction|Memory Foam Footbed|Anti-Slip Rubber Sole|Ultra-Soft Sherpa Lining"
stratos-hydro-dip,Stratos HydroDip,"Satisfying color transitions at your feet. Reactive thermochromic material shifts colors with temperature changes. Wet or warm, it adapts. <br><br><strong>Key Features:</strong><ul><li>Thermochromic Color-Shift</li><li>Water-Repelling Finish</li><li>High-Performance Traction</li><li>Flexible Knit Upper</li></ul>",Stratos,Footwear,"New, Viral",TRUE,Size,US 10,STR-HYDRO-10,1000,shopify,80,deny,manual,185.00,240.00,TRUE,TRUE,stratos-hydro-dip.png,Stratos HydroDip Color-changing sneaker,Satisfying color transitions at your feet. Reactive thermochromic material shifts colors with temperature changes. Wet or warm, it adapts.,"Thermochromic Color-Shift|Water-Repelling Finish|High-Performance Traction|Flexible Knit Upper"
